Harrow & Wealdstone,Kenton,126,156,2
Kenton,South Kenton,156,259,2
South Kenton,North Wembley,259,202,2
North Wembley,Wembley Central,202,310,2
Wembley Central,Stonebridge Park,310,277,3
Stonebridge Park,Harlesden,277,124,2
Harlesden,Willesden Junction,124,330,2
Willesden Junction,Kensal Green,330,153,3
Kensal Green,Queen's Park,153,228,4
Queen's Park,Kilburn Park,228,159,2
Kilburn Park,Maida Vale,159,179,2
Maida Vale,Warwick Avenue,179,307,1
Warwick Avenue,Paddington,307,214,2
Paddington,Edgware Road (Bakerloo),214,89,2
Edgware Road (Bakerloo),Marylebone,89,186,1
Marylebone,Baker Street,186,14,2
Baker Street,Regent's Park,14,235,1
Regent's Park,Oxford Circus,235,213,3
Oxford Circus,Piccadilly Circus,213,218,2
Piccadilly Circus,Charing Cross,218,56,1
Charing Cross,Embankment,56,94,1
Embankment,Waterloo,94,308,2
Waterloo,Lambeth North,308,165,2
Lambeth North,Elephant & Castle,165,91,3
