Watford,Croxley,309,69,2
Croxley,Moor Park,69,190,5
Moor Park,Northwood,190,206,3
Northwood,Northwood Hills,206,207,2
Northwood Hills,Pinner,207,220,3
Pinner,North Harrow,220,201,2
North Harrow,Harrow-on-the-Hill,201,127,3
Harrow-on-the-Hill,Northwick Park,127,205,2
Northwick Park,Preston Road,205,224,3
Preston Road,Wembley Park,224,311,2
Wembley Park,Finchley Road,311,101,8
Finchley Road,Baker Street,101,14,6
Baker Street,Great Portland Street,14,114,2
Great Portland Street,Euston Square,114,97,2
Euston Square,King's Cross St Pancras,97,161,2
King's Cross St Pancras,Farringdon,161,99,3
Farringdon,Barbican,99,17,1
Barbican,Moorgate,17,191,2
Moorgate,Liverpool Street,191,175,2
Liverpool Street,Aldgate,175,5,1
