Battersea Power Station,Nine Elms,21,197,2
Nine Elms,Kennington,197,152,3
Kennington,Waterloo,152,308,2
Waterloo,Embankment,308,94,2
Embankment,Charing Cross,94,56,1
Charing Cross,Leicester Square,56,170,1
Leicester Square,Tottenham Court Road,170,288,1
Tottenham Court Road,Goodge Street,288,111,2
Goodge Street,Warren Street,111,306,1
Warren Street,Euston,306,96,1
Euston,Mornington Crescent,96,193,2
Mornington Crescent,Camden Town,193,46,3
Camden Town,Chalk Farm,46,54,2
Chalk Farm,Belsize Park,54,26,2
Belsize Park,Hampstead,26,121,2
Hampstead,Golders Green,121,109,5
Golders Green,Brent Cross,109,38,2
Brent Cross,Hendon Central,38,133,2
Hendon Central,Colindale,133,65,3
Colindale,Burnt Oak,65,44,2
Burnt Oak,Edgware,44,88,3
